Name,avg,min,max
Johnathon Hudson,135,98,172
Colten McCullough,124,90,165
Garnet Hayes,112,89,139
Beau Damore,122,82,163
Laurianne Schmeler,132,91,173
Name Bayer,127,83,167
Madilyn Howell,141,113,172
Jean Pollich,130,91,170
Dedrick Dicki,140,97,165
Seamus Conn,129,95,165
Tremaine Labadie,124,93,158
Laverna Jerde,117,97,157
Angel Armstrong,125,104,153
Jaycee Adams,120,89,161
Emmitt Kessler,138,105,169
Kale Okuneva,134,109,163
Damien Bednar,144,95,174
Dangelo Douglas,129,92,160
Luciano Haag,145,116,167
Hunter Hodkiewicz,123,88,160
Pasquale Frami,123,92,161
Norwood Feil,131,97,171
Evalyn Hyatt,138,106,173
Colleen Hand,136,110,160
Fatima Shanahan,135,94,179
Gavin Lowe,134,81,174
Luther Wisoky,134,106,155
Amely Feil,129,83,169
Isabelle Harvey,126,88,164
Eliane Kub,137,102,164
Clementine Tromp,136,105,163
May Friesen,136,105,170
Ivory Cartwright,116,94,138
Winnifred Kuvalis,125,95,159
Retta Blick,112,82,166
Timmy Prohaska,129,86,171
Beth Balistreri,127,96,172
Cathryn Strosin,121,103,160
Hildegard Schimmel,114,101,148
Rashawn Gaylord,138,104,174
Nels Glover,137,98,165
Princess Davis,116,83,149
Lenny Considine,143,101,171
Unique Hackett,130,99,155
Jesus McGlynn,125,96,161
Thad Labadie,137,102,169
Melvin Hermann,127,97,160
Addison Conn,128,105,155
Golda Ankunding,115,85,151
Liana Stoltenberg,145,109,166
Marvin Lynch,142,104,176
Ronny Herman,112,94,148
Mariana Borer,147,121,165
Amir VonRueden,138,112,157
Robbie Hettinger,126,96,152
Shany Kohler,130,91,170
Meredith Schaden,120,87,159
Ryleigh Champlin,131,86,165
Tabitha Blanda,122,91,152
Natasha Purdy,124,107,149
Glennie Yundt,126,97,168
Maria Stiedemann,134,81,178
Karelle Dooley,137,101,159
Westley Mosciski,130,98,158
Chaya Altenwerth,128,100,164
Taya Wolf,116,81,163
Brody Howe,126,95,162
Kayley Murazik,142,116,164
Mollie Cassin,131,101,158
